leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,uak6FBx2FJuDIBDfmBRifmJ8t2lltcjOQMw7KS-wYbK_oKU,toelicker49,401,311,268,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,2HHGhbEoP2-YOTLky7SYaY1asoBiVvFEAD_DVjbC2k24p6an,Tricker101,401,275,201,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,0GmNxTdEcz6gIOOJqyBfjwxx0Sul8pBT08fvo-kOOd1FBa8,C9 Chad Draven,400,259,173,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,Nney5SCkZvgdZulDDUz4QAH6j8gq8m2n1YpdO5uSy5014Z4,100 Prismal,399,468,456,True,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,l3wa_E0SClnCnvYCv3Xucei_k_b14iP_3qwb4ppTLeP9goo,colingogo,397,495,448,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,AOM9nxBuvJ_cgEaBy_c4iSBC8lGOgmbFNsIsYoFd0ae0Aypd,Bejjaniii,396,320,236,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,kTO8k3q60Ii4QpP6_9TM7ls-cbi4-YIdNJ4rgGx9sTKVjXI,Kailhua,396,228,196,False,False,False,True
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,qLd2mqFXTCC3m5oixNR4VRoru0Ah9gZ5o53kfm6HArC6DB8,Arine,394,323,304,True,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,YopMY2wk4GPyOBC-EvO5Hbs0fKx0wINgGbZYlpeNFBeIj44,Lefasa,394,143,104,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,lxnEMYo6Z6f6z3cT6gT8-5gMM4HuxML_bVV4xL5dds9zhK0,BE Hezzy,393,305,268,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,GMMv5sGU22Gw96NI8TBHC9tJsg3KXIKuI3Kkc4r7sGvg0eY,Boyyyyyyyyyyy,391,242,203,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,kUIDcasHnqPSuFods8P1C9C8OJ2PeOkqqwdNUlUjk1b-klo,NASoloQIsGreat,389,549,535,False,False,False,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,c0yrTuDBaPLW7N8SPR0yNgIXTNlh6iGm_EDmz8wmkKc9Yt6p,jg is weak side,389,399,326,False,False,True,False
86095819-693e-3935-a2e9-4529e0736d74,RANKED_SOLO_5x5,GRANDMASTER,I,cFy7FwUHHI1Kaqs12rD1xSYWfP8XqrUfihwLtgHbC-1YbqM,NAsFinest,388,585,562,True,False,False,False
