,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
0,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,83taSOcukY00Kwl8nFWHdwTOB9kvDNVLlNul4aTZGHOtiPw,Naazimie,82,51,26,False,False,True,False
1,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,T6_fDvIHTVME_EvuM2AShYZId6AQFhH6Hu18jB6yK67sgC0u,Amish Baztard,80,221,138,False,False,True,False
2,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,zuotwSRWZfqzhFBe--PyEAcknrCPIJRfxV31ubR-pTqFXSk,SuckOnDeezBeez,78,85,62,False,False,False,True
3,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,Tjjt7dsGHXFkZVClrU7NJ6WQGZR8FQM4n2qP8Zt05MGLAxk,AkDuke,73,218,198,False,False,False,False
4,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,ZJE2qLWHDDvq2rfPbwgaXjW-6Rx8R5CuqOz6_WN2Bf3qxd4,GankedBy Bush,72,185,156,False,False,True,False
5,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,cjQgX5nz3-pP54uy2r3fCOpIhgQ0ZGab89YgtJ3o6vb0C-I,Autolykus,71,865,840,False,False,True,False
6,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,c4q_h3p_rDt-R0ThNx4oRLOsAFf-nm1camC3sEAyKNDeEck,monsieur14,60,396,378,False,False,True,False
7,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,mTVxSMeTyWjkBQZoo_qBUVjIBWJsnKOSd4TZwm8eykSHer0,dW3 ˉ,59,571,549,False,False,True,False
8,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,VNac4yEiXqGoRai2hgl0Q3yKOHEOgHbK7HGM8sO3d1gcqcU,Aloneus,59,428,396,False,False,True,False
9,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,ZRC8baA5mKynwf3Xf1JVnVjEF9UAQA8l_lgfc6MaL62Arus,ye yu,59,327,293,False,False,True,False
10,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,Gz_NPTjdy6z4iyIWB-68bXr-ZTLz_BzDrtFxKRBQq3-mMwo3,CA ZEDD,59,294,222,False,False,True,False
11,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,DRHpWMunXEjkFc09-mhkSe6gJ34dZSNkDkMtNsAAhOLKWCVb,LED,59,268,181,False,False,True,False
12,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,bJdC3SciN3pgc5pATspM_rjI-gzs64UaCzibBR8ckkI5G2A,i love nuggets,59,219,178,False,False,False,True
13,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,8lHQZvlF0I05vz3L5uxtWiLYM4phypagKsJ9KKbAPpcoq8Q,IceSnowClever,59,74,53,False,False,True,False
14,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,s0zvBIxiPxUX5X3IY8NXEpII2PYUwDVNSw-WVWDQM55SssQ,2oon,58,271,187,False,False,True,False
15,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,3mD5vjwSmF-tQkHb3oaXO8pDgF6N0OlYxOuPB0BnyqYsCbc,such a wh0re ,58,148,129,False,False,True,False
16,136579ee-a212-34b0-b4b8-69ba529f4d7f,RANKED_SOLO_5x5,MASTER,I,eImdDGpsHGzcAqcLbHS6k8ACmYwkW3bsNPFYQ3e43LvJ6q8,ttv Doglightning,57,688,678,False,False,True,False
