,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
73,e5aa6e3f-af85-4097-94b1-6b5e36256b00,RANKED_SOLO_5x5,IRON,III,d17qwmgO3ce7ziGcnDUblzyINA2oXGXw43Clc7mWHJZyuVp-,CHgreat,5,5,21,False,False,False,False,
74,11a75b91-2391-4bb6-87c0-29c4a9fce9f4,RANKED_SOLO_5x5,IRON,III,B2vMI4p4Ssior-Vo88gXprrFifUQ9uluqxoyR8HDq4o0L2G5,Skanja,1,72,91,False,False,False,False,
75,df571a17-d263-46ea-b0aa-6f45f73a86ad,RANKED_SOLO_5x5,IRON,III,83_OPcRkRV7ViAo6VAE0UMcPZtlsIFeXpNQwjvTytSrsvO_B,yeetedoryote,12,4,15,False,False,False,False,
76,c8215a9a-5436-46d3-8b10-09dba5b78bf8,RANKED_SOLO_5x5,IRON,III,1A6iAsaclheJ8zA_LwCm-aiThcj6J9dC8Dmo9JJvMMiBeShi,Alppaca,56,2,13,False,False,False,False,
77,fcf5f7e9-7628-4ec4-adc4-1b63df8029da,RANKED_SOLO_5x5,IRON,III,W6sqgw7Cqw-falsYXfzVviD5-H9cTiZhNF6GSU_pKtUP-5wH,windmillboii,57,4,10,False,False,False,False,
78,4ecf731c-ffb2-453b-9788-e991785d8972,RANKED_SOLO_5x5,IRON,III,8vrhwJtK55VlP4Ds-41T8F0PnXdKJYowTM5gNn2WrfFWlr32,MarvelousTea255,30,7,21,False,False,False,False,
79,ab3caaee-1751-40f0-9141-98e4089eec78,RANKED_SOLO_5x5,IRON,III,TTmyxyKmjPcfqzgTmcqhVcYCAtt0RyCGDqS1nmYaGk5RrIKb,Coub01,39,5,15,False,False,False,False,
80,1710ea49-9c73-4c41-b86d-0c95d54be30b,RANKED_SOLO_5x5,IRON,III,hsaXTbjDAFTs6Ykn6utAk6wVP2jybYMxN3Nrxoj2YQ6Xu40M,R7an2275,43,7,6,False,False,False,False,
81,53cfff88-2374-4dee-bb9a-7fbce280a609,RANKED_SOLO_5x5,IRON,III,QCFJYW4J8e8goS5wL-yd3lTZ0Spe8vB3GC9HbX_uF8QMMDYy,Rot3,45,5,6,False,False,False,False,
82,a65741c9-6dd4-4fdb-863a-5757b90d9de2,RANKED_SOLO_5x5,IRON,III,O-RzUjO7XZNpNP0d0ZxLOBa8KAzQcAJFT0hoDlA9HyBUomcA,NOXIDE789,44,9,24,False,False,False,False,
83,09e6479d-636a-424e-a960-321e86f4c111,RANKED_SOLO_5x5,IRON,III,VsUM3eD_TdAKXfY4uvKGstLbF0tU_jLcAU1D48mjmHWpnZqD,Hellstone VII,96,84,112,False,False,False,False,
84,dc2f440d-952e-488b-8632-eb1f08c80bcb,RANKED_SOLO_5x5,IRON,III,wIH8PHu0-XrmyNC2OQdzTPA1uIP1elvf1rfLv_jJkPq_bEXg,Thanyx,40,24,45,False,False,False,False,
85,c72eca07-4c79-49d4-8bc7-f89ccd8ae98d,RANKED_SOLO_5x5,IRON,III,ZNi_bW_2Q9jxcM5X-XJMTazDyXjfE8fOW_TQbZKbukDwcioI,Rinkoah,82,45,69,False,False,False,False,
86,7c510958-0009-4fba-b84a-da60ccef0406,RANKED_SOLO_5x5,IRON,III,tvXSoLc1xabfAsQZEA1sPH0MJCTsBSjP-C4-PwUGRuHgBfqz,Helcat21,17,2,8,False,False,False,False,
87,48ceb35f-e430-4832-820c-f92c1dbc6254,RANKED_SOLO_5x5,IRON,III,N66I2CXOyCtr-mxEBsnMW6ktP6xat7lAKNJJ5OJqdvkYw52A,Abood89jo,52,11,27,False,False,False,False,
88,55c9d7c9-9ddf-4608-9b77-9a16307a0be5,RANKED_SOLO_5x5,IRON,III,ttZX9pHAzJPiVJLvx_Y1J-RRmHvDrpRM3PSNza8GEXuMfVqh,SuburbanEmu,65,3,7,False,False,False,False,
89,3639acb2-9a42-4bce-8b0f-aba845ce724d,RANKED_SOLO_5x5,IRON,III,K1RS6b7exBEHkD8G9R0UPRSQgOk4hb2puzBEs1pElOhecM-b,LFTyler,49,4,10,False,False,False,False,
90,6ef1c9b1-428e-4431-8e14-f64be19ed1be,RANKED_SOLO_5x5,IRON,III,kMc44XBV9MRqVb0CV76AN4SQ7VIodqDv77oTKE-EZqQ4OTpC,Ingaborga,12,11,28,False,False,False,False,
91,1e54adf7-7b05-445e-9cd0-c4ea40c143cf,RANKED_SOLO_5x5,IRON,III,c7nKPhm-5Yb8DneVvcNFNM-Uu-7jd3vAweQl5C6WIpJN2Rhw,ToxicSniper011,0,2,12,False,False,False,False,
92,d5f9fc7c-c26b-4c15-a1c1-2f25cda73c4e,RANKED_SOLO_5x5,IRON,III,WHPTHbTBoViFPL7KfGGxpiA8u4KQLKk8uGQtOj7wCloktdGD,XxXNewtKnightXxX,0,27,45,False,False,False,False,
93,8b9ebd7a-8591-4278-972a-2a161b6122a1,RANKED_SOLO_5x5,IRON,III,XA78TEVy6Ga7MAj0SSS8GSsSaYRE2tPI38eogAtYmBuDfV0k,Iron Strong,57,1,10,False,False,False,False,
94,b8ccd96d-5636-4dc6-be6f-b9ef04e2a4b9,RANKED_SOLO_5x5,IRON,III,Lsu_D8HbwRYfmI2NpG6BOXK7ferL6reyqkYXI0AXQojN0TAx,Ripdaman,0,2,10,False,False,False,False,
95,947a5dd1-f5eb-4e60-851d-9209437a1336,RANKED_SOLO_5x5,IRON,III,eHW8jGFs_lxuPUxIyM6VT_xV9drsCko-DTsD-NqQCF23jBpQ,Epyen,100,50,64,False,False,False,False,"{'target': 2, 'wins': 1, 'losses': 0, 'progress': 'WNN'}"
96,7882230c-4701-4362-ac26-5874e236e8cf,RANKED_SOLO_5x5,IRON,III,P0-G6K-MLko3aiE6chO3ZLVgtbsdjZS0ENoDqBr0mOQRdKXb,SpurnedShrike,0,80,104,False,False,False,False,
97,44c456fb-8f80-42d9-9eb5-9ad00f8d45d2,RANKED_SOLO_5x5,IRON,III,GgMttujFUl6By6sJ1LrHWLNGe8yDVhkiM_KdVfSuL-eq-ZHR,DaberrysnakeYT10,28,6,18,False,False,False,False,
98,28e1bc42-99de-40ed-906c-d83f610ca4ba,RANKED_SOLO_5x5,IRON,III,rFkeebNf-Pfu8d8Is5dCGrxf_JpOlByP7NhMgQGqXy6FCQTK,Zyloxian,64,4,7,False,False,False,False,
99,cf321921-6b9e-4a62-87c5-7b65641e4824,RANKED_SOLO_5x5,IRON,III,N-9SZVHbvzvigR93CR5SxkkcPviDV47z2sarxOq19W972y-j,OgreButcher,22,31,33,False,False,False,False,
100,0b7553b3-90ec-4d4f-9263-ebaff9a64cd4,RANKED_SOLO_5x5,IRON,III,Li8ElTqiEj_oeumjWCVYUa5kIQhBv0KeOhM7_-XfY9WjxuMN,ShyValerie,74,10,15,False,False,False,False,
101,c01d70f6-00d1-44d2-9cf6-85586933cf09,RANKED_SOLO_5x5,IRON,III,0Csga0G1Yr801Ls2hEwpVfkmQ3ECc8ngjnEI_t8LXiwFY2zi,bwm06,0,2,8,False,False,False,False,
102,c0c370a3-2c48-42bb-9123-d1114236e45c,RANKED_SOLO_5x5,IRON,III,UlSrJs3g3ms_U72k4-zvEGc3iNNbNGXuXe_21SIS1yCckROx,Lucifers Loli,97,23,19,False,False,False,False,
103,b5716672-9b35-4456-9ee5-b40e4473a5e0,RANKED_SOLO_5x5,IRON,III,_ju15yksw-oVuYCLTTNMSv8E75tD_RMPcbSN2G5B9TFVvGT-,DShrish,7,40,57,False,False,False,False,
104,0af92aee-a9c1-426c-8be9-d12b599e88ad,RANKED_SOLO_5x5,IRON,III,3riqYTs1xocq3yloU6_ulbOGucnS49By0zaZ9p7IofZ7SFjE,Jayhawke14,78,2,11,False,False,False,False,
105,d7cb4d31-90b6-4321-bbf4-9bd793382a04,RANKED_SOLO_5x5,IRON,III,AQucnHHEj2FkxrysNcHv32kKEnalqX31kEoB60NUHJyW85-v,Kiyani99,19,7,9,False,False,False,False,
106,6ef1c9b1-428e-4431-8e14-f64be19ed1be,RANKED_SOLO_5x5,IRON,III,8SBD9bVKXJx8PYNI1o2MkerUF-vFEC0F3-dPQ2mx8mCm-rhA,allamore,11,9,25,False,False,False,False,
107,ee5b841e-8366-43aa-a275-72e4f6ae87f7,RANKED_SOLO_5x5,IRON,III,ftvsWTzD1HtKRV31-jpz-QtO80SSb3y6rWr4QCIPinbEtFT0,Blue Pharaoh,31,4,8,False,False,False,False,
108,3f03de48-75f8-417a-b4c8-3e2cda725733,RANKED_SOLO_5x5,IRON,III,LJPs2FNAMkGcw7sWtGlV41FqIJD3Ws0CKws0MZ5Ukklz6pIU,GuiltyTactic,96,5,9,False,False,False,False,
109,a6d2afb4-12c8-49f1-91ab-f6f7345644f8,RANKED_SOLO_5x5,IRON,III,bxetLLwFPyBgKOSK-DZTpcVohtdSgLGMZWHbeShoG0eL-IYa,UnknownLlamoo,74,4,8,False,False,False,False,
110,4701fa75-3c70-4a50-9bf6-49e9f741b308,RANKED_SOLO_5x5,IRON,III,ww3p6ljuDe2PToQVOySXGYaf5JV4hyGPWIV4Ess09pP8rjKP,Carmac20,92,9,6,False,False,False,True,
111,27cf02f2-7373-428c-818d-89f29d6e2f3f,RANKED_SOLO_5x5,IRON,III,h_1AhG_gBwBecKWm09c3CToZCoQpT-8t9V7fHf73bzYlsKfc,PayneLT,2,11,15,False,False,False,False,
112,5cb9c8ca-ea38-474c-9cbc-9d77fffff527,RANKED_SOLO_5x5,IRON,III,g8vQyhseQWhCLqGREftrvBcncEyktLu7Xzs45OwuxWpF6aip,ArioliRavioli,100,6,7,False,False,False,False,"{'target': 2, 'wins': 1, 'losses': 1, 'progress': 'LWN'}"
