,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
8433,268,7,341343,1603408595000,319743,0,True,0,-VzeVqZBOL4Y5Sg5VTRXDQcvtt61_tXjpBhkvJZDxvaH65U
8434,64,7,259231,1603168509000,237631,0,True,0,6z6df2Re9Iw5r4iTIfwEjR5mIKv79cofGyGjFSM5rX8YCCY
8435,37,7,167142,1601075594000,145542,0,True,0,MVRpe27UBW7eMhIaSzuD6fGOP2sttvSQ6rA5fdxwTVsywgU
8436,53,7,153586,1602826107000,131986,0,True,0,RiL-oUdJlpuqyRkWV_SmoYaHbaNtAOF93BZUqn2fi9nx1WU
8437,51,6,146730,1603478473000,125130,0,True,0,WIkSt07VQ99hTrPpwGMe7Q6U7RlSXgJH7v51eh_7aPmtEkM
8438,105,6,50665,1583619620000,29065,0,True,1,mTmjs6zTVKsmnj_A3Eh0_daDLfNYsLb0P309OBcITMLPijLG
8439,267,7,327288,1602033510000,305688,0,True,0,UYfvYFO0HpzLcdIXL28QF_D4K2Pma2Qeu7boBndjiOinv2I
8440,74,6,94576,1597111671000,72976,0,True,3,6fU9Qu_HYV80ka_vja1hC97fog4JOUySc2__8kPFNdRDvmw
8441,40,7,550209,1589406676000,528609,0,True,0,y6fHBXS0yYob6UPvYTee421DQOITWiKrP_EZ-ZZc3bk6lNU
8442,202,7,161203,1589010014000,139603,0,True,0,9d_npgRqV_XqaBZ4txiAdERknEu5htPKlQWQMSF7eO9JJSU
8443,29,7,174326,1584493317000,152726,0,False,0,nrL-HWBgH8BxOtY_gYunD3m4tdvgdea4lHsjtPGd68JX9JQ
8444,62,7,456630,1603333054000,435030,0,True,0,oC-DBEJfM0xftxsF8aXsHNAx9-W0nj4WKVc5T-ZPNIxVLzU
8445,267,7,298895,1589048230000,277295,0,True,0,UeaN10gRXOpjiWoHYW5p8GTL71F8YdRHhavmh9JPs0lS2j4
8446,28,6,121669,1564539193000,100069,0,False,0,bEzfd89SHs6FsQNnC9JxU8nB-4p7J-8LTf5C_8rGMcGAzyw
8447,64,7,233933,1602971979000,212333,0,False,0,ehGlszRbG11qdKvTNKGZ7vmlE1A4R1CVzwmeO0Xph6SAsX8
8448,51,5,25186,1597527684000,3586,0,True,1,9L2vUMQKCs0WOFUwM98UCJqdK1l7pfxx92mZ2fs78c8PBqYZ
8449,99,7,574836,1603397183000,553236,0,True,0,O32ho--sv2nzE6YaVvVbr-q6DG0-KvPPHV61XRboallS
8450,63,5,269841,1598687727000,248241,0,True,2,YQEkfzr97RXn4IKdEd72O4fhgCtgllSjwBvKsYoFYPnmXSg
8451,202,7,419770,1603494045000,398170,0,True,0,9g9Ql6m0c3JZtI6pPQ01sUB2B-0k2ztjSfZEwkJ9MfdMWw0
8452,245,6,79853,1595624931000,58253,0,False,1,84JuL1RL03O77EeMQ04Oth1cjqslDGEgB4vOXs2nbZsBepY
8453,111,7,175343,1603068132000,153743,0,True,0,hXF6ImBvcS-rwLsTfrt08OmtD9xd-LF7DBx-fZwjxe5juyo
8454,202,7,276297,1603063150000,254697,0,True,0,A3GcXGy_M6ORmOieIUfJvXSbkVPeUzibTdv4IMnhgkzwOXtk
8455,33,7,124334,1603163781000,102734,0,True,0,wMzhASxkgm7Lj50Az8O-RUAC-cw6HcBE3auBPn-kFg
8456,81,5,42316,1596155902000,20716,0,True,2,WBpAsx7qNMC9UcJwfiKQHVX_x2NXwWMZ7fhIQgRw302JRJY
8457,11,7,392423,1602132181000,370823,0,True,0,i5sUZiw9M-MobscU1rm-MdpfllFGK4zNSbmLo-_CZtV--G4
8458,54,6,42013,1603414457000,20413,0,True,0,YlyKR_TNgmujfxHBTSsRzGCoIxfEBxFGSaIUCgzmKB6m9lw
8459,98,7,242009,1603445976000,220409,0,True,0,PfF-u1-aUc0ucgAm8RI5BAF9NHxTUb9WCwyfDXXCLlbKQTQ
8460,222,7,358036,1601790236000,336436,0,True,0,qL6AEMmqo3O1ypqz9Yg6zK9ycIvIXMOihaJX-qtr5Pn6Kg8
8461,154,5,99337,1594352167000,77737,0,True,2,aq0zCiNH_B4T0lTXYtC6v29BDqaKE90EhidheNvz_1c5DFl9
8462,81,7,168987,1603410846000,147387,0,True,0,KTFVJ09mzeTDRS8xNYMpdOLY_YPjRJ8OSa__oG7U2CEChUc
8463,150,6,59708,1585886406000,38108,0,True,0,OLRugG1k4X6ugmUwdXusHGa5ihf4ZqP2H3PJNgaDaX0
8464,145,6,26056,1599320182000,4456,0,True,1,pOV_939s417NZnCD2WRxJq_xkOG2uditkS6pO9TFypY62F40
8465,24,5,88854,1590630300000,67254,0,True,2,rtw8Lr2pql6iM5jDEPJ06CDTxTDWmuPsD3geO155e_Pjc7Y
8466,64,6,35994,1598503379000,14394,0,True,0,2sq2h1IlUzmfNxvGC8J8ATfiQ2XQ7vvn9tNzsEZ20AYBBGui
8467,497,7,297288,1603478129000,275688,0,True,0,zFV5ezZkAYXPLhK5BaC2ZoJIIktVd5KEK_J0tCzkgbG8ruU
8468,266,7,428189,1603186349000,406589,0,True,0,yO89NkFtmUgkx5xjE925w2_UsG1T5CPTFwtpZrT67ygFKbc
8469,120,7,992254,1599312906000,970654,0,True,0,Lh940C-BoNe05cUbyueachsb9fEYNXR9F2c9BruosD25Q4I
8470,119,7,659093,1601871900000,637493,0,True,0,e3HlokRnye8kqnHUVyg-MXt8wGNAsWNVoceTQWCDSgTvODc
8471,131,6,43197,1603238403000,21597,0,True,3,eJljtQ-puTqXwtWuJvYmMbKWEcFkm9IxdnlW1MZYVrKypjo
8472,122,7,401995,1603512251000,380395,0,True,0,OlEAPDxhBA2NB252RXfJ0dV7zjCaX0vbblrLmLjU580-iwE
8473,7,7,198882,1603405738000,177282,0,True,0,lkLcqGxQPlDgLoJDHywlAekwd6Mn7xDOXgM2j-n59H4NaAc
8474,497,7,266872,1603253325000,245272,0,True,0,7AvuymES0otwuFQNjXNR8YdHY07OK4sTfqA08ccEaAH0EOY
8475,72,7,632505,1603534483000,610905,0,True,0,KgMr0bzSDGlD6ot-UGW2RBBIdUgYaVZu82KeuEkC8JCZ0Wg
8476,91,7,183316,1595646586000,161716,0,True,0,DeP1TwRJlKHf07uzqeIyUJFcmBAwLs86qdcFcpoo8h6_TEQ
8477,107,7,206427,1595557871000,184827,0,False,0,Qm46tDcGqL8RfESQLk5v3uFXEAUDQejO-bNtW5FVNMqWMOc
8478,202,7,245242,1597553841000,223642,0,True,0,3gj_H7RiEv3wmnzyFyx0RS6aFZwU6STNetBGrpGoScvZFug
8479,99,5,24671,1602431973000,3071,0,True,0,sorJYou9f0ydOSKjKiNLoOWiidiy__mAib6D-14wi9h3TqY
8480,164,7,394120,1603516633000,372520,0,True,0,ZK0Bx32WgkBIWM7WyCbm5wOvOd32UmO1S7cE1YVG15EJf4U
8481,145,6,31459,1589008573000,9859,0,True,0,ShfJ5mjQHFEyoSB6YHEJq2hocQwKRF7AITrqHlgOKB__nZWW
8482,40,7,283868,1602047657000,262268,0,True,0,Sa6f7YdltBSDeOErGtfiydMyZVYtqH6f-4LRYAj7dNMAd4k
8483,104,6,44694,1586760988000,23094,0,True,0,a6EhAdO7BnVh_svRZYVOSMfE4ZBd-DerzsGocpfoqYZiyQ0
8484,2,6,40363,1586061776000,18763,0,True,0,Mgf2Z4FwD-RmGdUhhvLdnpY7DfSbzJC-4LOINkLMhs8c2zM
